condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940624545940,PAM07,left,0.8
odor_b_dl2d_left,pam_nonzero,720575940624629223,PAM07,left,18.4
odor_b_dl2d_left,pam_nonzero,720575940624661031,PAM10,right,49.4
odor_b_dl2d_left,pam_nonzero,720575940624859725,PAM04,right,70.2
odor_b_dl2d_left,pam_nonzero,720575940625568186,PAM08,left,40.2
odor_b_dl2d_left,pam_nonzero,720575940625615248,PAM04,right,38.8
odor_b_dl2d_left,pam_nonzero,720575940626420045,PAM04,left,43.8
odor_b_dl2d_left,pam_nonzero,720575940626506472,PAM11,left,10.0
odor_b_dl2d_left,pam_nonzero,720575940626878460,PAM10,right,59.2
odor_b_dl2d_left,pam_nonzero,720575940627103877,PAM04,left,66.0
odor_b_dl2d_left,pam_nonzero,720575940627194501,PAM07,right,49.4
odor_b_dl2d_left,pam_nonzero,720575940627644584,PAM08,right,58.6
odor_b_dl2d_left,pam_nonzero,720575940627680516,PAM07,left,1.8
odor_b_dl2d_left,pam_nonzero,720575940628094663,PAM07,left,28.8
odor_b_dl2d_left,pam_nonzero,720575940628615683,PAM01,left,16.4
odor_b_dl2d_left,pam_nonzero,720575940628687207,PAM01,left,21.2
odor_b_dl2d_left,pam_nonzero,720575940628836412,PAM08,right,35.0
odor_b_dl2d_left,pam_nonzero,720575940629579836,PAM04,right,76.6
odor_b_dl2d_left,pam_nonzero,720575940629960192,PAM10,left,48.6
odor_b_dl2d_left,pam_nonzero,720575940630500293,PAM08,left,58.0
odor_b_dl2d_left,pam_nonzero,720575940630684943,PAM08,left,30.2
odor_b_dl2d_left,pam_nonzero,720575940630777631,PAM05,right,14.8
odor_b_dl2d_left,pam_nonzero,720575940630868271,PAM11,right,11.6
odor_b_dl2d_left,pam_nonzero,720575940631184439,PAM08,left,57.6
odor_b_dl2d_left,pam_nonzero,720575940631198776,PAM04,right,39.0
odor_b_dl2d_left,pam_nonzero,720575940631443304,PAM01,right,34.0
odor_b_dl2d_left,pam_nonzero,720575940631576903,PAM07,right,54.8
odor_b_dl2d_left,pam_nonzero,720575940631636035,PAM04,left,55.6
odor_b_dl2d_left,pam_nonzero,720575940631688808,PAM01,left,28.4
odor_b_dl2d_left,pam_nonzero,720575940633145996,PAM01,left,24.4
odor_b_dl2d_left,pam_nonzero,720575940633406745,PAM10,left,46.2
odor_b_dl2d_left,pam_nonzero,720575940633688476,PAM04,left,80.0
odor_b_dl2d_left,pam_nonzero,720575940634953079,PAM11,right,32.2
odor_b_dl2d_left,pam_nonzero,720575940635356316,PAM04,right,57.2
odor_b_dl2d_left,pam_nonzero,720575940637391582,PAM01,right,0.2
odor_b_dl2d_left,pam_nonzero,720575940638163940,PAM10,right,42.2
odor_b_dl2d_left,pam_nonzero,720575940639075150,PAM10,left,69.6
odor_b_dl2d_left,pam_nonzero,720575940639358579,PAM11,right,36.0
odor_b_dl2d_left,pam_nonzero,720575940639566406,PAM01,left,31.4
odor_b_dl2d_left,pam_nonzero,720575940641062901,PAM01,left,0.4
odor_b_dl2d_left,pam_nonzero,720575940643311501,PAM10,left,47.4
odor_b_dl2d_left,pam_nonzero,720575940643543200,PAM07,left,2.6
odor_b_dl2d_left,pam_nonzero,720575940643950190,PAM07,right,47.8
odor_b_dl2d_left,pam_nonzero,720575940644146724,PAM10,right,63.2
odor_b_dl2d_left,pam_nonzero,720575940644747828,PAM08,right,41.4
odor_b_dl2d_left,pam_nonzero,720575940646564916,PAM08,left,21.4
odor_b_dl2d_left,pam_nonzero,720575940646582836,PAM08,right,57.8
