condition,root_id,side,rate_hz
baseline,720575940610140378,right,0.0
baseline,720575940610142869,left,0.0
baseline,720575940610147826,right,0.0
baseline,720575940610159480,left,0.0
baseline,720575940610167987,right,0.0
baseline,720575940610175218,right,0.0
baseline,720575940610191795,right,0.0
baseline,720575940610206387,right,0.0
baseline,720575940610210034,right,0.0
baseline,720575940610214769,left,0.0
baseline,720575940610218360,left,0.0
baseline,720575940610307374,left,0.0
baseline,720575940610308757,left,0.0
baseline,720575940610323674,left,0.0
baseline,720575940610336610,right,0.0
baseline,720575940610347929,right,0.0
baseline,720575940610353381,right,0.0
baseline,720575940610358501,right,0.0
baseline,720575940610359650,left,0.0
baseline,720575940610370201,right,0.0
baseline,720575940610375726,right,0.0
baseline,720575940610378865,left,0.0
baseline,720575940610380498,left,0.0
baseline,720575940610386661,right,0.0
baseline,720575940610391854,left,0.0
baseline,720575940610393842,left,0.0
baseline,720575940610395438,left,0.0
baseline,720575940610406776,right,0.0
baseline,720575940610410609,left,0.0
baseline,720575940610417893,right,0.0
baseline,720575940610470130,right,0.0
baseline,720575940610476506,left,0.0
baseline,720575940610497731,left,0.0
baseline,720575940610505426,right,0.0
baseline,720575940610505621,right,0.0
baseline,720575940610529656,left,0.0
baseline,720575940610535890,left,0.0
baseline,720575940610543257,left,0.0
baseline,720575940610562713,left,0.0
baseline,720575940610580377,right,0.0
baseline,720575940610585011,left,0.0
baseline,720575940610609075,left,0.0
baseline,720575940610614757,left,0.0
baseline,720575940610617317,left,0.0
baseline,720575940610617753,left,0.0
baseline,720575940610618341,left,0.0
baseline,720575940610631544,left,0.0
baseline,720575940610637235,left,0.0
baseline,720575940610649464,left,0.0
baseline,720575940610658674,right,0.0
baseline,720575940610669786,right,0.0
baseline,720575940610676403,right,0.0
baseline,720575940610690162,right,0.0
baseline,720575940610691507,right,0.0
baseline,720575940610709106,right,0.0
baseline,720575940610710130,right,0.0
baseline,720575940610739930,left,0.0
baseline,720575940610743282,right,0.0
baseline,720575940610751129,left,0.0
baseline,720575940610773171,right,0.0
baseline,720575940610773714,right,0.0
baseline,720575940610774451,left,0.0
baseline,720575940610784179,right,0.0
baseline,720575940610793395,right,0.0
baseline,720575940610812258,left,0.0
baseline,720575940610823010,right,0.0
baseline,720575940610823141,left,0.0
baseline,720575940610833250,left,0.0
baseline,720575940610841074,left,0.0
baseline,720575940610846818,left,0.0
baseline,720575940610847842,left,0.0
baseline,720575940610849742,left,0.0
baseline,720575940610856874,left,0.0
baseline,720575940610862506,left,0.0
baseline,720575940610872418,left,0.0
baseline,720575940610885330,left,0.0
baseline,720575940610886610,left,0.0
baseline,720575940610901234,left,0.0
baseline,720575940610906521,right,0.0
baseline,720575940610907490,right,0.0
baseline,720575940610921642,left,0.0
baseline,720575940610929778,left,0.0
baseline,720575940610942066,left,0.0
baseline,720575940610943897,right,0.0
baseline,720575940610944022,right,0.0
baseline,720575940610945558,right,0.0
baseline,720575940610946070,right,0.0
baseline,720575940610946730,right,0.0
baseline,720575940610951577,left,0.0
baseline,720575940610952089,right,0.0
baseline,720575940610960994,right,0.0
baseline,720575940610963734,right,0.0
baseline,720575940610990821,right,0.0
baseline,720575940611001061,right,0.0
baseline,720575940611013785,left,0.0
baseline,720575940611035365,left,0.0
baseline,720575940611045700,right,0.0
baseline,720575940611052517,left,0.0
baseline,720575940611053029,left,0.0
baseline,720575940611059609,left,0.0
baseline,720575940611098517,right,0.0
baseline,720575940611102578,left,0.0
baseline,720575940611104229,left,0.0
baseline,720575940611110468,right,0.0
baseline,720575940611111061,right,0.0
baseline,720575940611111317,left,0.0
baseline,720575940611111829,right,0.0
baseline,720575940611113109,left,0.0
baseline,720575940611129571,right,0.0
baseline,720575940611196110,left,0.0
baseline,720575940611204323,right,0.0
baseline,720575940611208817,left,0.0
baseline,720575940611210865,right,0.0
baseline,720575940611213774,left,0.0
baseline,720575940611228462,left,0.0
baseline,720575940611229297,left,0.0
baseline,720575940611263090,left,0.0
baseline,720575940611284174,left,0.0
baseline,720575940611285454,left,0.0
baseline,720575940611286990,left,0.0
baseline,720575940611310894,right,0.0
baseline,720575940611327254,left,0.0
baseline,720575940611330070,left,0.0
baseline,720575940611336726,left,0.0
baseline,720575940611343054,right,0.0
baseline,720575940611343218,right,0.0
baseline,720575940611350234,left,0.0
baseline,720575940611370610,left,0.0
baseline,720575940611390742,left,0.0
baseline,720575940611394019,left,0.0
baseline,720575940611400050,left,0.0
baseline,720575940611424882,left,0.0
baseline,720575940611450134,right,0.0
baseline,720575940611453107,right,0.0
baseline,720575940611454833,left,0.0
baseline,720575940611471090,left,0.0
baseline,720575940611473587,left,0.0
baseline,720575940611489010,left,0.0
baseline,720575940611532949,right,0.0
baseline,720575940611548821,left,0.0
baseline,720575940611569301,right,0.0
baseline,720575940611578074,left,0.0
baseline,720575940611579541,right,0.0
baseline,720575940611586453,right,0.0
baseline,720575940611591829,left,0.0
baseline,720575940611592154,left,0.0
baseline,720575940611597795,left,0.0
baseline,720575940611611285,left,0.0
baseline,720575940611611378,right,0.0
baseline,720575940611612387,left,0.0
baseline,720575940611615986,left,0.0
baseline,720575940611644825,left,0.0
baseline,720575940611652374,left,0.0
baseline,720575940611655288,left,0.0
baseline,720575940611657881,left,0.0
baseline,720575940611660714,right,0.0
baseline,720575940611661541,left,0.0
baseline,720575940611664281,right,0.0
baseline,720575940611669145,left,0.0
baseline,720575940611669674,left,0.0
baseline,720575940611682739,right,0.0
baseline,720575940611685273,left,0.0
baseline,720575940611686629,right,0.0
baseline,720575940611686809,right,0.0
baseline,720575940611694565,left,0.0
baseline,720575940611696042,right,0.0
baseline,720575940611697066,right,0.0
baseline,720575940611702165,left,0.0
baseline,720575940611704813,right,0.0
baseline,720575940611724437,left,0.0
baseline,720575940611728563,left,0.0
baseline,720575940611733997,right,0.0
baseline,720575940611748594,right,0.0
baseline,720575940611760021,left,0.0
baseline,720575940611769059,right,0.0
baseline,720575940611771029,right,0.0
baseline,720575940611802330,right,0.0
baseline,720575940611803490,left,0.0
baseline,720575940611810531,left,0.0
baseline,720575940611812835,left,0.0
baseline,720575940611837041,left,0.0
baseline,720575940611837809,right,0.0
baseline,720575940611855729,right,0.0
baseline,720575940611873242,left,0.0
baseline,720575940611902577,left,0.0
baseline,720575940611903601,left,0.0
baseline,720575940611930265,left,0.0
baseline,720575940611936474,right,0.0
baseline,720575940611943976,right,0.0
baseline,720575940611946482,right,0.0
baseline,720575940611954801,left,0.0
baseline,720575940611960872,right,0.0
baseline,720575940611983322,left,0.0
baseline,720575940611985448,right,0.0
baseline,720575940611987240,right,0.0
baseline,720575940611988008,right,0.0
baseline,720575940612008818,right,0.0
baseline,720575940612009074,left,0.0
baseline,720575940612009903,right,0.0
baseline,720575940612019570,right,0.0
baseline,720575940612020008,right,0.0
baseline,720575940612023983,right,0.0
baseline,720575940612031411,left,0.0
baseline,720575940612067034,left,0.0
baseline,720575940612072685,left,0.0
baseline,720575940612079853,left,0.0
baseline,720575940612090321,right,0.0
baseline,720575940612091601,right,0.0
baseline,720575940612099053,left,0.0
baseline,720575940612099309,left,0.0
baseline,720575940612104627,left,0.0
baseline,720575940612111346,left,0.0
baseline,720575940612151538,right,0.0
baseline,720575940612169709,left,0.0
baseline,720575940612178418,right,0.0
baseline,720575940612190693,right,0.0
baseline,720575940612194983,left,0.0
baseline,720575940612196589,left,0.0
baseline,720575940612231282,left,0.0
baseline,720575940612240918,right,0.0
baseline,720575940612266213,right,0.0
baseline,720575940612287283,left,0.0
baseline,720575940612337203,right,0.0
baseline,720575940612339370,right,0.0
baseline,720575940612339810,right,0.0
baseline,720575940612344293,left,0.0
