condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,pam_nonzero,720575940612920999,PAM11,left,53.8
odor_a_da1_left,pam_nonzero,720575940613338152,PAM04,right,78.8
odor_a_da1_left,pam_nonzero,720575940614677810,PAM12,right,11.4
odor_a_da1_left,pam_nonzero,720575940614991221,PAM08,left,31.6
odor_a_da1_left,pam_nonzero,720575940615607975,PAM01,left,24.6
odor_a_da1_left,pam_nonzero,720575940616882757,PAM11,left,61.6
odor_a_da1_left,pam_nonzero,720575940616986769,PAM08,left,80.6
odor_a_da1_left,pam_nonzero,720575940617145561,PAM01,right,32.0
odor_a_da1_left,pam_nonzero,720575940617242841,PAM08,right,48.8
odor_a_da1_left,pam_nonzero,720575940617553809,PAM08,left,32.2
odor_a_da1_left,pam_nonzero,720575940618744118,PAM01,left,58.0
odor_a_da1_left,pam_nonzero,720575940619101062,PAM11,left,91.6
odor_a_da1_left,pam_nonzero,720575940619251416,PAM08,left,48.2
odor_a_da1_left,pam_nonzero,720575940619299054,PAM08,left,69.2
odor_a_da1_left,pam_nonzero,720575940619402576,PAM07,right,43.8
odor_a_da1_left,pam_nonzero,720575940619785492,PAM01,left,25.8
odor_a_da1_left,pam_nonzero,720575940619823536,PAM08,right,66.0
odor_a_da1_left,pam_nonzero,720575940619844261,PAM08,left,47.4
odor_a_da1_left,pam_nonzero,720575940620260800,PAM05,left,27.4
odor_a_da1_left,pam_nonzero,720575940620341931,PAM07,right,47.2
odor_a_da1_left,pam_nonzero,720575940620352646,PAM12,left,10.8
odor_a_da1_left,pam_nonzero,720575940620423533,PAM10,right,90.4
odor_a_da1_left,pam_nonzero,720575940620576238,PAM10,right,85.8
odor_a_da1_left,pam_nonzero,720575940621085622,PAM08,right,45.0
odor_a_da1_left,pam_nonzero,720575940621136519,PAM11,left,80.2
odor_a_da1_left,pam_nonzero,720575940621166256,PAM12,left,15.8
odor_a_da1_left,pam_nonzero,720575940621216982,PAM08,right,69.6
odor_a_da1_left,pam_nonzero,720575940621284446,PAM04,right,0.4
odor_a_da1_left,pam_nonzero,720575940621434145,PAM04,left,32.8
odor_a_da1_left,pam_nonzero,720575940621462512,PAM01,right,40.8
odor_a_da1_left,pam_nonzero,720575940621617286,PAM08,left,59.0
odor_a_da1_left,pam_nonzero,720575940621861637,PAM09,right,0.2
odor_a_da1_left,pam_nonzero,720575940622107869,PAM08,left,36.4
odor_a_da1_left,pam_nonzero,720575940622338269,PAM08,right,59.8
odor_a_da1_left,pam_nonzero,720575940622387981,PAM08,left,47.6
odor_a_da1_left,pam_nonzero,720575940622701808,PAM11,right,38.4
odor_a_da1_left,pam_nonzero,720575940623201023,PAM04,left,89.6
odor_a_da1_left,pam_nonzero,720575940623398524,PAM08,right,59.6
odor_a_da1_left,pam_nonzero,720575940623442173,PAM01,left,8.6
odor_a_da1_left,pam_nonzero,720575940623696647,PAM05,left,44.4
odor_a_da1_left,pam_nonzero,720575940623792055,PAM10,left,91.0
odor_a_da1_left,pam_nonzero,720575940624545940,PAM07,left,24.2
odor_a_da1_left,pam_nonzero,720575940624629223,PAM07,left,41.2
odor_a_da1_left,pam_nonzero,720575940624661031,PAM10,right,74.4
odor_a_da1_left,pam_nonzero,720575940624687850,PAM12,left,18.2
odor_a_da1_left,pam_nonzero,720575940624859725,PAM04,right,99.2
odor_a_da1_left,pam_nonzero,720575940625568186,PAM08,left,48.6
odor_a_da1_left,pam_nonzero,720575940625615248,PAM04,right,67.8
odor_a_da1_left,pam_nonzero,720575940626420045,PAM04,left,67.8
odor_a_da1_left,pam_nonzero,720575940626506472,PAM11,left,43.8
odor_a_da1_left,pam_nonzero,720575940626878460,PAM10,right,93.4
odor_a_da1_left,pam_nonzero,720575940627103877,PAM04,left,96.0
odor_a_da1_left,pam_nonzero,720575940627194501,PAM07,right,57.8
odor_a_da1_left,pam_nonzero,720575940627390507,PAM12,right,17.8
odor_a_da1_left,pam_nonzero,720575940627644584,PAM08,right,74.4
odor_a_da1_left,pam_nonzero,720575940627680516,PAM07,left,34.0
odor_a_da1_left,pam_nonzero,720575940628094663,PAM07,left,44.0
odor_a_da1_left,pam_nonzero,720575940628427369,PAM09,left,3.0
odor_a_da1_left,pam_nonzero,720575940628615683,PAM01,left,34.6
odor_a_da1_left,pam_nonzero,720575940628687207,PAM01,left,34.2
odor_a_da1_left,pam_nonzero,720575940628836412,PAM08,right,44.6
odor_a_da1_left,pam_nonzero,720575940629188507,PAM01,left,10.8
odor_a_da1_left,pam_nonzero,720575940629190615,PAM08,left,4.4
odor_a_da1_left,pam_nonzero,720575940629579836,PAM04,right,106.0
odor_a_da1_left,pam_nonzero,720575940629960192,PAM10,left,76.0
odor_a_da1_left,pam_nonzero,720575940630397527,PAM12,right,17.0
odor_a_da1_left,pam_nonzero,720575940630465398,PAM07,left,22.8
odor_a_da1_left,pam_nonzero,720575940630500293,PAM08,left,73.8
odor_a_da1_left,pam_nonzero,720575940630536441,PAM12,right,0.2
odor_a_da1_left,pam_nonzero,720575940630684943,PAM08,left,44.4
odor_a_da1_left,pam_nonzero,720575940630777631,PAM05,right,20.4
odor_a_da1_left,pam_nonzero,720575940630868271,PAM11,right,38.4
odor_a_da1_left,pam_nonzero,720575940631017258,PAM04,right,17.2
odor_a_da1_left,pam_nonzero,720575940631095087,PAM01,left,21.8
odor_a_da1_left,pam_nonzero,720575940631184439,PAM08,left,65.2
odor_a_da1_left,pam_nonzero,720575940631198776,PAM04,right,67.0
odor_a_da1_left,pam_nonzero,720575940631222841,PAM12,right,12.8
odor_a_da1_left,pam_nonzero,720575940631443304,PAM01,right,44.6
odor_a_da1_left,pam_nonzero,720575940631576903,PAM07,right,63.4
