condition,root_id,glomerulus,side,rate_hz
kc_set_a,720575940626986885,VC4,right,0.0
kc_set_a,720575940627035388,VM5d,left,0.0
kc_set_a,720575940627042064,DL1,right,0.0
kc_set_a,720575940627160322,DC2,left,0.0
kc_set_a,720575940627245585,VP4,left,0.0
kc_set_a,720575940627353426,DL3,left,0.0
kc_set_a,720575940627480586,VM3,left,0.0
kc_set_a,720575940627708688,DL4,left,0.0
kc_set_a,720575940627772009,DL2v,left,0.0
kc_set_a,720575940627844734,D,left,0.0
kc_set_a,720575940628035543,VA7m,right,0.0
kc_set_a,720575940628077568,VM1,left,0.0
kc_set_a,720575940628181520,DL2v,left,0.0
kc_set_a,720575940628259407,DA2,right,0.0
kc_set_a,720575940628283560,VA1v,left,0.0
kc_set_a,720575940628316047,DL2d,left,0.0
kc_set_a,720575940628323919,DM4,left,0.0
kc_set_a,720575940628346194,VP1l+,left,0.0
kc_set_a,720575940628467611,VL2p,left,0.0
kc_set_a,720575940628524292,VM7d,left,0.0
kc_set_a,720575940628739560,VC2,left,0.0
kc_set_a,720575940628882450,DL3,right,0.0
kc_set_a,720575940629009513,VA3,right,0.0
kc_set_a,720575940629011655,VP1d,left,0.0
kc_set_a,720575940629097922,VA1v,left,0.0
kc_set_a,720575940629279544,VM5d,right,0.0
kc_set_a,720575940629301248,V,right,0.0
kc_set_a,720575940629451833,DL2d,right,0.0
kc_set_a,720575940629546538,DC4,left,0.0
kc_set_a,720575940629733626,VA1v,left,0.0
kc_set_a,720575940629926159,DM5,left,0.0
kc_set_a,720575940629947439,VL2p,right,0.0
kc_set_a,720575940630024566,DM2,left,0.0
kc_set_a,720575940630066007,DA1,right,0.0
kc_set_a,720575940630097103,VC2,right,0.0
kc_set_a,720575940630131663,DC3,left,0.0
kc_set_a,720575940630155083,DA3,right,0.0
kc_set_a,720575940630217086,DL2d,right,0.0
kc_set_a,720575940630493818,DC2,right,0.0
kc_set_a,720575940630546540,V,left,0.0
kc_set_a,720575940630547909,VA1d,right,0.0
kc_set_a,720575940630549370,DM3,right,0.0
kc_set_a,720575940630584079,VP1l+,left,0.0
kc_set_a,720575940630770042,DM1,left,0.0
kc_set_a,720575940630778428,DL3,left,0.0
kc_set_a,720575940630895055,VC5,right,0.0
kc_set_a,720575940630914858,DC4,right,0.0
kc_set_a,720575940630928715,DL2d,left,0.0
kc_set_a,720575940630983954,VL1,right,0.0
kc_set_a,720575940630989354,VA1v,right,0.0
kc_set_a,720575940631054634,VC5,right,0.0
kc_set_a,720575940631161570,DL2v,right,0.0
kc_set_a,720575940631193052,DC2,right,0.0
kc_set_a,720575940631305068,DP1l,left,0.0
kc_set_a,720575940631328104,DM6,left,0.0
kc_set_a,720575940631347011,VP2,right,0.0
kc_set_a,720575940631462200,VM7d,right,0.0
kc_set_a,720575940631742156,VA1v,right,0.0
kc_set_a,720575940631930828,DA4m,left,0.0
kc_set_a,720575940632167085,DL1,right,0.0
kc_set_a,720575940632571583,VL2a,left,0.0
kc_set_a,720575940632698797,VM6,right,0.0
kc_set_a,720575940632720026,VA1v,left,0.0
kc_set_a,720575940632868563,VA5,right,0.0
kc_set_a,720575940633165025,VA1v,right,0.0
kc_set_a,720575940633166151,DC4,left,0.0
kc_set_a,720575940633190847,VC1,right,0.0
kc_set_a,720575940633499548,VA5,right,0.0
kc_set_a,720575940633804212,D,left,0.0
kc_set_a,720575940634229615,VA1v,left,0.0
kc_set_a,720575940634325087,VM5d,right,0.0
kc_set_a,720575940634710629,DL3,right,0.0
kc_set_a,720575940634939327,DC3,left,0.0
kc_set_a,720575940635066975,VP1m,right,0.0
kc_set_a,720575940635082871,VM5d,left,0.0
kc_set_a,720575940635604581,DL3,right,0.0
kc_set_a,720575940635933119,VC4,left,0.0
kc_set_a,720575940635983770,DP1l,right,0.0
kc_set_a,720575940636873791,VA6,left,0.0
kc_set_a,720575940637009636,VA5,left,0.0
kc_set_a,720575940637056887,DC1,left,0.0
kc_set_a,720575940637208718,DA1,left,0.0
kc_set_a,720575940637231593,VA5,left,0.0
kc_set_a,720575940637469254,DA1,right,0.0
kc_set_a,720575940637526190,VC1,left,0.0
kc_set_a,720575940637594334,VA6,right,0.0
kc_set_a,720575940637628762,DM2,right,0.0
kc_set_a,720575940637864355,DL2v,right,0.0
kc_set_a,720575940637910106,V,left,0.0
kc_set_a,720575940637943374,DC3,right,0.0
kc_set_a,720575940638583869,VL2a,right,0.0
kc_set_a,720575940638624189,DM2,right,0.0
kc_set_a,720575940638633535,DM2,left,0.0
kc_set_a,720575940638719104,DA2,left,0.0
kc_set_a,720575940639080765,DL5,right,0.0
kc_set_a,720575940639121571,VM5d,right,0.0
kc_set_a,720575940639337461,DA2,right,0.0
kc_set_a,720575940639680957,VA7m,left,0.0
kc_set_a,720575940640032896,DM5,left,0.0
kc_set_a,720575940640398477,VA7m,left,0.0
kc_set_a,720575940640697808,VM2,left,0.0
kc_set_a,720575940640804853,VA1d,left,0.0
kc_set_a,720575940640971995,VM4,left,0.0
kc_set_a,720575940642046453,DL2d,left,0.0
kc_set_a,720575940642086389,VA4,right,0.0
kc_set_a,720575940642492576,DM5,right,0.0
kc_set_a,720575940644004768,VM1,right,0.0
kc_set_a,720575940644258327,DM5,left,0.0
kc_set_a,720575940644961588,VM5d,left,0.0
kc_set_a,720575940646122804,DA1,left,0.0
kc_set_a,720575940648650884,DP1l,left,0.0
kc_set_a,720575940649045369,DA4l,right,0.0
kc_set_a,720575940649133945,DA3,right,0.0
kc_set_a,720575940652875681,DC4,right,0.0
kc_set_a,720575940656090017,VA3,left,0.0
