condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,pam_nonzero,720575940645932579,PAM01,left,14.2
odor_a_da1_left,pam_nonzero,720575940646564916,PAM08,left,32.2
odor_a_da1_left,pam_nonzero,720575940646582836,PAM08,right,62.2
odor_a_da1_left,pam_nonzero,720575940647165828,PAM07,right,51.6
odor_a_da1_left,pam_nonzero,720575940648330105,PAM06,right,24.0
odor_a_da1_left,pam_nonzero,720575940649649785,PAM01,right,19.8
odor_a_da1_left,pam_nonzero,720575940650745977,PAM10,right,51.4
odor_a_da1_left,pam_nonzero,720575940654661281,PAM01,right,25.0
odor_a_da1_left,pam_nonzero,720575940658674049,PAM07,right,0.6
odor_a_da1_left,pam_nonzero,720575940660271745,PAM10,left,29.2
odor_a_da1_left,ppl1_nonzero,720575940609180611,PPL106,left,170.4
odor_a_da1_left,ppl1_nonzero,720575940615953202,PPL107,left,41.0
odor_a_da1_left,ppl1_nonzero,720575940617691170,PPL101,right,207.0
odor_a_da1_left,ppl1_nonzero,720575940618943389,PPL106,right,177.2
odor_a_da1_left,ppl1_nonzero,720575940619245016,PPL107,right,65.2
odor_a_da1_left,ppl1_nonzero,720575940621040737,PPL101,left,215.2
odor_a_da1_left,ppl1_nonzero,720575940623082665,PPL105,right,121.2
odor_a_da1_left,ppl1_nonzero,720575940624206728,PPL102,left,102.4
odor_a_da1_left,ppl1_nonzero,720575940627549205,PPL104,left,29.8
odor_a_da1_left,ppl1_nonzero,720575940627594568,PPL103,left,153.2
odor_a_da1_left,ppl1_nonzero,720575940631745367,PPL102,right,112.2
odor_a_da1_left,ppl1_nonzero,720575940631758393,PPL103,right,143.2
odor_a_da1_left,ppl1_nonzero,720575940632107335,PPL104,right,6.2
odor_a_da1_left,ppl1_nonzero,720575940647147908,PPL105,left,139.4
odor_a_da1_left,apl_nonzero,720575940613583001,APL,right,321.0
odor_a_da1_left,apl_nonzero,720575940624547622,APL,left,343.4
odor_b_dl2d_left,mbons_nonzero,720575940606953858,MBON23,right,57.4
odor_b_dl2d_left,mbons_nonzero,720575940609959637,MBON32,left,153.0
odor_b_dl2d_left,mbons_nonzero,720575940610647416,MBON10,right,52.8
odor_b_dl2d_left,mbons_nonzero,720575940610964946,MBON09,right,202.0
odor_b_dl2d_left,mbons_nonzero,720575940611344078,MBON20,right,125.0
odor_b_dl2d_left,mbons_nonzero,720575940612455338,MBON15,right,35.0
odor_b_dl2d_left,mbons_nonzero,720575940614026193,MBON14,right,164.8
odor_b_dl2d_left,mbons_nonzero,720575940614392999,MBON29,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940614595218,MBON28,left,2.0
odor_b_dl2d_left,mbons_nonzero,720575940614892182,MBON28,right,6.6
odor_b_dl2d_left,mbons_nonzero,720575940615221811,MBON10,right,55.6
odor_b_dl2d_left,mbons_nonzero,720575940616463477,MBON22,left,181.8
odor_b_dl2d_left,mbons_nonzero,720575940617302365,MBON07,left,190.6
odor_b_dl2d_left,mbons_nonzero,720575940617552340,MBON02,right,175.4
odor_b_dl2d_left,mbons_nonzero,720575940617567206,MBON23,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940617749538,MBON11,right,237.2
odor_b_dl2d_left,mbons_nonzero,720575940618008859,MBON30,left,19.4
odor_b_dl2d_left,mbons_nonzero,720575940620715224,MBON21,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940621164720,MBON05,left,219.4
odor_b_dl2d_left,mbons_nonzero,720575940621777391,MBON21,right,0.8
odor_b_dl2d_left,mbons_nonzero,720575940621828443,MBON12,left,148.8
odor_b_dl2d_left,mbons_nonzero,720575940622093436,MBON15,right,15.2
odor_b_dl2d_left,mbons_nonzero,720575940622997453,MBON18,right,92.0
